CO2 EF,Load,Flue Gas / Fuel,Exhaust Temp,Operating Pressure,Vaper / Fuel,PM CON
1472.816783,82,90.40220408,125.4,8.9,6.693877551,179.7777778
1467.886716,79.2,90.6464986,129.2,9,6.655462185,168.4444444
1511.461668,81.6,94.12117647,126.7,9,6.857142857,238
1462.698216,86.8,90.99165354,130.3,9.1,6.834645669,141.3333333
896.1317174,87.5,58.18672566,80,5.7,7.743362832,197.2222222
3063.05535,15,207.116092,83.6,5.6,5.172413793,111.1111111
1821.47048,7.085,150.8349914,78,5.8,2.430531732,223.5185185
5679.32434,4.375,362.816381,78,5.8,2.5,82.03703704
1814.718669,9.585,127.5908571,78,5.9,2.190857143,48.33333333
2922.560893,14.15,173.542963,86,7,5.240740741,99.25925926
2656.04421,21.65,179.5153802,86,7,7.427101201,181.4814815
2914.51824,22.5,173.6540444,97,7,6,47.03703704
2839.218702,22.5,166.4045333,96,7,6,97.40740741
2090.731295,69.6,130.6826866,123,6.5,7.791044776,485.8
2024.640638,71.66666667,124.7222388,126,6.5,8.02238806,368.8
2066.415574,72.93333333,129.0710145,136,6.5,7.927536232,283.8
1874.53727,70.86666667,118.1754589,125,6.5,7.702898551,176.4
2034.083007,72.53333333,125.6515366,136,6.5,7.716312057,169
1934.561382,72.93333333,120.1660047,132,6.5,7.758865248,313.4
1825.206899,73.33333333,114.4809929,121,6.5,7.80141844,216.4
1880.23612,72.06666667,117.5255319,127,6.5,7.666666667,271.4
2037.403773,68.33333333,125.1537313,119,6.5,7.649253731,247.6
1937.937612,46.13333333,123.2952809,95,6.5,7.775280899,129.2
1668.920451,0.742,105.4859107,120,7,7.649484536,2791.666667
1518.422779,0.748,94.18116838,120,6.8,7.711340206,1666.666667
1796.994635,0.938,112.4035028,150,7.7,7.949152542,626.1818182
1859.133291,0.812,120.768,150,7.7,8.12,454.9818182
1715.942041,0.826,107.676,150,7.7,8.26,432.2909091
1759.1479,0.962,109.659322,150,7.7,8.152542373,399.2727273
1968.289342,0.926,122.6964912,150,7.7,8.122807018,305.8909091
1928.381576,0.812,118.8215385,150,7.7,7.807692308,499.1272727
1855.833086,0.862,116.7782051,150,7.7,8.288461538,562.0363636
2939.370556,97.8,184.4465934,155.8,33.7,8.956043956,10
2436.8327,92.2,151.3647758,160.7,33.6,8.381818182,40
2770.025153,99.6,176.5450935,165.9,33.1,9.632495164,40
2502.325338,110,156.0810811,167.9,33.4,8.744038156,74
2461.334674,95.8,165.4371278,150.2,33.1,8.388791594,30
2516.963375,107.8,165.1159492,154.1,33.8,8.92384106,440
3255.191567,91.2,187.7967238,151.6,33.5,8.685714286,5.9
2077.357911,88.8,132.1654658,151.2,32.5,9.192546584,15.3
2058.685943,85.6,133.6235302,149.2,32.2,8.42519685,332.7
2626.680193,97,162.9215611,160.5,32.2,9.309021113,40
2783.51845,86,176.4142276,136,33.3,8.739837398,6.9
2763.10374,91.6,172.5870669,125.6,33.1,8.592870544,43.6
2468.312638,95,162.432,135.7,33.1,7.916666667,60.9
2818.057271,104.6,182.1360452,154.2,33.9,8.86440678,30
2343.132131,92.8,148.4518272,150.1,33,8.592592593,78.5
2233.82559,104,146.8149,155.5,32.9,8.666666667,4.9
2750.893647,86,177.2153741,132.7,33.1,8.775510204,2.3
2334.675995,105.2,148.2826237,155.8,34.4,8.483870968,30
2456.372344,94,158.2084571,161.6,34.4,8.952380952,30
2494.894127,92.2,160.2819408,148.8,33.9,8.714555766,10.6
2422.7505,94.04,152.237037,161.1,33.9,8.292768959,47.1
2659.692817,110,166.9940557,154.7,33.5,8.513931889,180.9
2324.779599,99.2,142.0754497,159.7,33.8,9.841269841,108.6
2310.203954,92.6,142.2382979,159.8,32.8,8.955512573,18.9
2507.672643,105.2,162.5428606,153.7,32.5,9.443447038,16.1
1820.079741,0.84375,110.0785714,278,12.6,6.887755102,512.2222222
2065.247839,0.83875,129.182963,289,11.9,8.283950617,479.5061728
1977.715093,0.83875,123.5306667,283,11.9,8.3875,170.1234568
2678.912277,0.83875,166.65,282,11.8,8.3875,482.5925926
2027.792186,0.83875,130.8038333,242,12.3,8.3875,497.1604938
1993.020307,0.82875,127.5412658,217,12.1,8.392405063,123.4567901
2054.672669,0.8175,127.81725,245,12,8.175,181.75
1586.964273,0.83125,99.24993197,250,12,6.785714286,375
2069.921095,0.835,128.2676984,225,12,7.952380952,174.75
1925.002452,0.75,118.5411111,225,12,7.142857143,195.25
1533.23346,0.87625,96.11079365,255,12,8.345238095,1850.5
1240.647303,95.85,78.79741667,150,5.2,7.9875,3322.077922
1061.355718,62.3,66.57056604,100,5.5,7.836477987,1740.25974
1047.347131,62.5,67.84575,108,5.6,7.8125,1298.701299
1070.201878,64,68.22583333,106,5.2,8,974.025974
1109.427755,62.5,69.7125,106,5.6,7.8125,1006.493506
1087.77022,61.45,68.22734177,108,5.4,7.778481013,2235.714286
1218.091448,57.7,76.92324324,108,5.7,7.797297297,2849.350649
1196.891457,57.7,77.02378378,107,5.4,7.797297297,1829.87013
1219.400788,58.55,78.97093333,105,5.7,7.806666667,1550
1186.941127,56.65,78.74261072,115,5.4,7.923076923,1388.961039
1238.205632,63.55,80.23583333,106,5.6,7.94375,2532.467532
1683.666454,53.95,107.5588808,123,6,7.875912409,2730.519481
1119.233061,81.13333333,76.13838703,100,13,7.687934302,352.278481
1580.507381,85.35333333,95.63887223,110,9,7.680263947,282.1518987
1279.179936,80.28,78.59292142,126,12,7.223755249,321.5189873
1301.3757,80.83333333,78.85333333,130,10,8.083333333,203.7974684
1731.026469,81.13333333,103.3329778,130,10,8.113333333,589.6202532
1607.927355,81.13333333,98.84,130,10,8.113333333,181.0126582
1372.122561,81.13333333,83.97524444,130,10,8.113333333,308.8607595
1198.835544,81.13333333,75.77368889,130,10,8.113333333,422.2151899
1135.473718,80,70.14168889,130,6.9,8,145.7594937
