CO2 EF,Flue CO Con,Load,Flue Gas / Fuel,Exhaust Temp,Design Steam Volume,Operating Pressure,Vaper / Fuel
1472.816783,0.1,82,90.40220408,125.4,20,8.9,6.693877551
1472.816783,0.1,82,90.40220408,125.4,20,8.9,6.693877551
1472.816783,0.1,82,90.40220408,125.4,20,8.9,6.693877551
1467.886716,0.1,79.2,90.6464986,129.2,20,9,6.655462185
1484.758977,0.1,79.2,91.60067227,129.2,20,9,6.655462185
1484.758977,0.1,79.2,91.60067227,129.2,20,9,6.655462185
1511.461668,0.1,81.6,94.12117647,126.7,20,9,6.857142857
1528.444384,0.1,81.6,94.12117647,126.7,20,9,6.857142857
1528.444384,0.1,81.6,94.12117647,126.7,20,9,6.857142857
1462.698216,0.1,86.8,90.99165354,130.3,20,9.1,6.834645669
1478.950419,0.1,86.8,93.74897638,130.3,20,9.1,6.834645669
1478.950419,0.1,86.8,93.74897638,130.3,20,9.1,6.834645669
896.1317174,0.1,87.5,58.18672566,80,20,5.7,7.743362832
813.1565584,0.1,87.5,68.51017699,80,20,5.7,7.743362832
813.1565584,0.1,87.5,68.51017699,80,20,5.7,7.743362832
3063.05535,0.1,15,207.116092,83.6,20,5.6,5.172413793
2596.938232,0.1,15,188.2873563,83.6,20,5.6,5.172413793
2596.938232,0.1,15,188.2873563,83.6,20,5.6,5.172413793
1821.47048,0.1,7.085,150.8349914,78,20,5.8,2.430531732
1886.522997,0.1,7.085,132.4404803,78,20,5.8,2.430531732
1886.522997,0.1,7.085,132.4404803,78,20,5.8,2.430531732
5679.32434,0.1,4.375,362.816381,78,20,5.8,2.5
4946.598257,0.1,4.375,434.496,78,20,5.8,2.5
4946.598257,0.1,4.375,434.496,78,20,5.8,2.5
1814.718669,0.1,9.585,127.5908571,78,20,5.9,2.190857143
1765.672218,0.1,9.585,141.4594286,78,20,5.9,2.190857143
1765.672218,0.1,9.585,141.4594286,78,20,5.9,2.190857143
2922.560893,0,14.15,173.542963,86,20,7,5.240740741
2922.560893,0,14.15,202.4667901,86,20,7,5.240740741
2922.560893,0,14.15,202.4667901,86,20,7,5.240740741
2656.04421,0,21.65,179.5153802,86,20,7,7.427101201
2979.952041,0,21.65,223.4783305,86,20,7,7.427101201
2979.952041,0,21.65,223.4783305,86,20,7,7.427101201
2914.51824,0,22.5,173.6540444,97,20,7,6
2862.473271,0,22.5,155.9943111,97,20,7,6
2862.473271,0,22.5,155.9943111,97,20,7,6
2839.218702,0,22.5,166.4045333,96,20,7,6
2787.596544,0,22.5,143.0495111,96,20,7,6
2787.596544,0,22.5,143.0495111,96,20,7,6
2090.731295,0.1,69.6,130.6826866,123,15,6.5,7.791044776
2054.051799,0.1,69.6,134.8313433,123,15,6.5,7.791044776
2054.051799,0.1,69.6,134.8313433,123,15,6.5,7.791044776
2024.640638,0.1,71.66666667,124.7222388,126,15,6.5,8.02238806
2060.794935,0.1,71.66666667,126.7668657,126,15,6.5,8.02238806
2060.794935,0.1,71.66666667,126.7668657,126,15,6.5,8.02238806
2066.415574,0.1,72.93333333,129.0710145,136,15,6.5,7.927536232
2035.57355,0.1,72.93333333,125.5826087,136,15,6.5,7.927536232
2035.57355,0.1,72.93333333,125.5826087,136,15,6.5,7.927536232
1874.53727,0.1,70.86666667,118.1754589,125,15,6.5,7.702898551
1966.727627,0.1,70.86666667,121.6512077,125,15,6.5,7.702898551
1966.727627,0.1,70.86666667,121.6512077,125,15,6.5,7.702898551
2034.083007,0.1,72.53333333,125.6515366,136,15,6.5,7.716312057
2034.083007,0.1,72.53333333,127.4212766,136,15,6.5,7.716312057
2034.083007,0.1,72.53333333,127.4212766,136,15,6.5,7.716312057
1934.561382,0.1,72.93333333,120.1660047,132,15,6.5,7.758865248
2029.703745,0.1,72.93333333,123.7530496,132,15,6.5,7.758865248
2029.703745,0.1,72.93333333,123.7530496,132,15,6.5,7.758865248
1825.206899,0.1,73.33333333,114.4809929,121,15,6.5,7.80141844
1891.578059,0.1,73.33333333,114.4809929,121,15,6.5,7.80141844
1891.578059,0.1,73.33333333,114.4809929,121,15,6.5,7.80141844
1880.23612,0.1,72.06666667,117.5255319,127,15,6.5,7.666666667
1847.249521,0.1,72.06666667,117.5255319,127,15,6.5,7.666666667
1847.249521,0.1,72.06666667,117.5255319,127,15,6.5,7.666666667
2037.403773,0.1,68.33333333,125.1537313,119,15,6.5,7.649253731
1932.020819,0.1,68.33333333,121.180597,119,15,6.5,7.649253731
1932.020819,0.1,68.33333333,121.180597,119,15,6.5,7.649253731
1937.937612,0.1,46.13333333,123.2952809,95,15,6.5,7.775280899
2028.778437,0.1,46.13333333,126.7201498,95,15,6.5,7.775280899
2028.778437,0.1,46.13333333,126.7201498,95,15,6.5,7.775280899
1668.920451,0.1,0.742,105.4859107,120,10,7,7.649484536
1619.834555,0.1,0.742,99.93402062,120,10,7,7.649484536
1619.834555,0.1,0.742,99.93402062,120,10,7,7.649484536
1518.422779,0.1,0.748,94.18116838,120,10,6.8,7.711340206
1539.544662,0.1,0.748,95.35752577,120,10,6.8,7.711340206
1539.544662,0.1,0.748,95.35752577,120,10,6.8,7.711340206
1796.994635,0.1,0.938,112.4035028,150,5,7.7,7.949152542
1878.676209,0.1,0.938,110.8637288,150,5,7.7,7.949152542
1878.676209,0.1,0.938,110.8637288,150,5,7.7,7.949152542
1859.133291,0.1,0.812,120.768,150,5,7.7,8.12
1834.009869,0.1,0.812,116.5056,150,5,7.7,8.12
1834.009869,0.1,0.812,116.5056,150,5,7.7,8.12
1715.942041,0.1,0.826,107.676,150,5,7.7,8.26
1786.460207,0.1,0.826,110.3346667,150,5,7.7,8.26
1786.460207,0.1,0.826,110.3346667,150,5,7.7,8.26
1759.1479,0.1,0.962,109.659322,150,5,7.7,8.152542373
1779.138217,0.1,0.962,108.5288136,150,5,7.7,8.152542373
1779.138217,0.1,0.962,108.5288136,150,5,7.7,8.152542373
1968.289342,0.1,0.926,122.6964912,150,5,7.7,8.122807018
1923.555493,0.1,0.926,118.9017544,150,5,7.7,8.122807018
1923.555493,0.1,0.926,118.9017544,150,5,7.7,8.122807018
1928.381576,0.1,0.812,118.8215385,150,5,7.7,7.807692308
1870.817946,0.1,0.812,117.1938462,150,5,7.7,7.807692308
1870.817946,0.1,0.812,117.1938462,150,5,7.7,7.807692308
1855.833086,0.1,0.862,116.7782051,150,5,7.7,8.288461538
1908.110074,0.1,0.862,119.7346154,150,5,7.7,8.288461538
1908.110074,0.1,0.862,119.7346154,150,5,7.7,8.288461538
2939.370556,0.1,97.8,184.4465934,155.8,50,33.7,8.956043956
2939.370556,0.1,97.8,185.5851526,155.8,50,33.7,8.956043956
2939.370556,0.1,97.8,185.5851526,155.8,50,33.7,8.956043956
2436.8327,0.1,92.2,151.3647758,160.7,50,33.6,8.381818182
2436.8327,0.1,92.2,154.7535394,160.7,50,33.6,8.381818182
2436.8327,0.1,92.2,154.7535394,160.7,50,33.6,8.381818182
2770.025153,0.1,99.6,176.5450935,165.9,50,33.1,9.632495164
2770.025153,0.1,99.6,174.0585429,165.9,50,33.1,9.632495164
2770.025153,0.1,99.6,174.0585429,165.9,50,33.1,9.632495164
2502.325338,0.1,110,156.0810811,167.9,50,33.4,8.744038156
2355.12973,0.1,110,155.0405405,167.9,50,33.4,8.744038156
2355.12973,0.1,110,155.0405405,167.9,50,33.4,8.744038156
2542.034171,0.1,95.8,164.2961821,150.2,50,33.1,8.388791594
2542.034171,0.1,95.8,164.2961821,150.2,50,33.1,8.388791594
2461.334674,0.1,95.8,165.4371278,150.2,50,33.1,8.388791594
2557.234789,0,107.8,163.9772185,154.1,50,33.8,8.92384106
2557.234789,0,107.8,163.9772185,154.1,50,33.8,8.92384106
2516.963375,0,107.8,165.1159492,154.1,50,33.8,8.92384106
3255.191567,0,91.2,187.7967238,151.6,50,33.5,8.685714286
3255.191567,0,91.2,179.1481905,151.6,50,33.5,8.685714286
3255.191567,0,91.2,179.1481905,151.6,50,33.5,8.685714286
2077.357911,0,88.8,132.1654658,151.2,50,32.5,9.192546584
2077.357911,0,88.8,127.2704486,151.2,50,32.5,9.192546584
2077.357911,0,88.8,127.2704486,151.2,50,32.5,9.192546584
2058.685943,0,85.6,133.6235302,149.2,50,32.2,8.42519685
2035.291785,0,85.6,111.1324409,149.2,50,32.2,8.42519685
2035.291785,0,85.6,111.1324409,149.2,50,32.2,8.42519685
2626.680193,0.1,97,162.9215611,160.5,50,32.2,9.309021113
2563.131479,0.1,97,158.1297505,160.5,50,32.2,9.309021113
2563.131479,0.1,97,158.1297505,160.5,50,32.2,9.309021113
2783.51845,0.1,86,176.4142276,136,50,33.3,8.739837398
2807.514298,0.1,86,179.1282927,136,50,33.3,8.739837398
2807.514298,0.1,86,179.1282927,136,50,33.3,8.739837398
2763.10374,0.1,91.6,172.5870669,125.6,50,33.1,8.592870544
2742.483563,0.1,91.6,172.5870669,125.6,50,33.1,8.592870544
2742.483563,0.1,91.6,172.5870669,125.6,50,33.1,8.592870544
2468.312638,0.1,95,162.432,135.7,50,33.1,7.916666667
2513.19105,0.1,95,164.97,135.7,50,33.1,7.916666667
