CO2_EF,Flue O2,Load,Flue_Gas/Fuel,Exhaust Temp,Operating Pressure,Vaper / Fuel
1472.816783,7.9,82,90.40220408,125.4,8.9,6.693877551
1472.816783,8.1,82,90.40220408,125.4,8.9,6.693877551
1472.816783,5.8,82,90.40220408,125.4,8.9,6.693877551
1467.886716,8,79.2,90.6464986,129.2,9,6.655462185
1484.758977,6.8,79.2,91.60067227,129.2,9,6.655462185
1484.758977,4.8,79.2,91.60067227,129.2,9,6.655462185
1511.461668,10.2,81.6,94.12117647,126.7,9,6.857142857
1528.444384,6.1,81.6,94.12117647,126.7,9,6.857142857
1528.444384,7.5,81.6,94.12117647,126.7,9,6.857142857
1462.698216,16.4,86.8,90.99165354,130.3,9.1,6.834645669
1478.950419,15.1,86.8,93.74897638,130.3,9.1,6.834645669
1478.950419,6.4,86.8,93.74897638,130.3,9.1,6.834645669
896.1317174,8.7,87.5,58.18672566,80,5.7,7.743362832
813.1565584,6.5,87.5,68.51017699,80,5.7,7.743362832
813.1565584,8.2,87.5,68.51017699,80,5.7,7.743362832
3063.05535,11.1,15,207.116092,83.6,5.6,5.172413793
2596.938232,7.6,15,188.2873563,83.6,5.6,5.172413793
2596.938232,14.8,15,188.2873563,83.6,5.6,5.172413793
1821.47048,7.4,7.085,150.8349914,78,5.8,2.430531732
1886.522997,11.5,7.085,132.4404803,78,5.8,2.430531732
1886.522997,6.8,7.085,132.4404803,78,5.8,2.430531732
5679.32434,7,4.375,362.816381,78,5.8,2.5
4946.598257,12.1,4.375,434.496,78,5.8,2.5
4946.598257,6.2,4.375,434.496,78,5.8,2.5
1814.718669,8.1,9.585,127.5908571,78,5.9,2.190857143
1765.672218,13.8,9.585,141.4594286,78,5.9,2.190857143
1765.672218,15.3,9.585,141.4594286,78,5.9,2.190857143
2922.560893,10.7,14.15,173.542963,86,7,5.240740741
2922.560893,11.2,14.15,202.4667901,86,7,5.240740741
2922.560893,11.1,14.15,202.4667901,86,7,5.240740741
2656.04421,16.8,21.65,179.5153802,86,7,7.427101201
2979.952041,8.2,21.65,223.4783305,86,7,7.427101201
2979.952041,11.2,21.65,223.4783305,86,7,7.427101201
2914.51824,14.8,22.5,173.6540444,97,7,6
2862.473271,14.2,22.5,155.9943111,97,7,6
2862.473271,13.9,22.5,155.9943111,97,7,6
2839.218702,15,22.5,166.4045333,96,7,6
2787.596544,6,22.5,143.0495111,96,7,6
2787.596544,6.1,22.5,143.0495111,96,7,6
2090.731295,14.9,69.6,130.6826866,123,6.5,7.791044776
2054.051799,15.5,69.6,134.8313433,123,6.5,7.791044776
2054.051799,12.4,69.6,134.8313433,123,6.5,7.791044776
2024.640638,14.7,71.66666667,124.7222388,126,6.5,8.02238806
2060.794935,11.6,71.66666667,126.7668657,126,6.5,8.02238806
2060.794935,7.6,71.66666667,126.7668657,126,6.5,8.02238806
2066.415574,14.7,72.93333333,129.0710145,136,6.5,7.927536232
2035.57355,14.7,72.93333333,125.5826087,136,6.5,7.927536232
2035.57355,14.9,72.93333333,125.5826087,136,6.5,7.927536232
1874.53727,13.9,70.86666667,118.1754589,125,6.5,7.702898551
1966.727627,14.9,70.86666667,121.6512077,125,6.5,7.702898551
1966.727627,13.6,70.86666667,121.6512077,125,6.5,7.702898551
2034.083007,16.1,72.53333333,125.6515366,136,6.5,7.716312057
2034.083007,14.9,72.53333333,127.4212766,136,6.5,7.716312057
2034.083007,13.4,72.53333333,127.4212766,136,6.5,7.716312057
1934.561382,16.9,72.93333333,120.1660047,132,6.5,7.758865248
2029.703745,13.6,72.93333333,123.7530496,132,6.5,7.758865248
2029.703745,14.3,72.93333333,123.7530496,132,6.5,7.758865248
1825.206899,13.9,73.33333333,114.4809929,121,6.5,7.80141844
1891.578059,13.7,73.33333333,114.4809929,121,6.5,7.80141844
1891.578059,14.4,73.33333333,114.4809929,121,6.5,7.80141844
1880.23612,6.5,72.06666667,117.5255319,127,6.5,7.666666667
1847.249521,14.9,72.06666667,117.5255319,127,6.5,7.666666667
1847.249521,14.9,72.06666667,117.5255319,127,6.5,7.666666667
2037.403773,14.5,68.33333333,125.1537313,119,6.5,7.649253731
1932.020819,13.5,68.33333333,121.180597,119,6.5,7.649253731
1932.020819,13.5,68.33333333,121.180597,119,6.5,7.649253731
1937.937612,16.1,46.13333333,123.2952809,95,6.5,7.775280899
2028.778437,6.9,46.13333333,126.7201498,95,6.5,7.775280899
2028.778437,15.5,46.13333333,126.7201498,95,6.5,7.775280899
1668.920451,14.9,0.742,105.4859107,120,7,7.649484536
1619.834555,14.7,0.742,99.93402062,120,7,7.649484536
1619.834555,7.8,0.742,99.93402062,120,7,7.649484536
1518.422779,14.3,0.748,94.18116838,120,6.8,7.711340206
1539.544662,5.7,0.748,95.35752577,120,6.8,7.711340206
1539.544662,12.6,0.748,95.35752577,120,6.8,7.711340206
1796.994635,6.6,0.938,112.4035028,150,7.7,7.949152542
1878.676209,14.2,0.938,110.8637288,150,7.7,7.949152542
1878.676209,12.2,0.938,110.8637288,150,7.7,7.949152542
1859.133291,13.7,0.812,120.768,150,7.7,8.12
1834.009869,13.1,0.812,116.5056,150,7.7,8.12
1834.009869,12.7,0.812,116.5056,150,7.7,8.12
1715.942041,10.3,0.826,107.676,150,7.7,8.26
1786.460207,12.2,0.826,110.3346667,150,7.7,8.26
1786.460207,15.7,0.826,110.3346667,150,7.7,8.26
1759.1479,10.9,0.962,109.659322,150,7.7,8.152542373
1779.138217,14.9,0.962,108.5288136,150,7.7,8.152542373
1779.138217,13.3,0.962,108.5288136,150,7.7,8.152542373
1968.289342,15.9,0.926,122.6964912,150,7.7,8.122807018
1923.555493,10.6,0.926,118.9017544,150,7.7,8.122807018
1923.555493,13.7,0.926,118.9017544,150,7.7,8.122807018
1928.381576,13.4,0.812,118.8215385,150,7.7,7.807692308
1870.817946,11.3,0.812,117.1938462,150,7.7,7.807692308
1870.817946,13.7,0.812,117.1938462,150,7.7,7.807692308
1855.833086,7.3,0.862,116.7782051,150,7.7,8.288461538
1908.110074,16.1,0.862,119.7346154,150,7.7,8.288461538
1908.110074,16.8,0.862,119.7346154,150,7.7,8.288461538
